Ticker,銘柄名
3802,S: エコミック
3803,G: イメージ情報開発
3804,S: システム ディ
3807,G: フィスコ
3810,S: サイバーステップ
3814,G: アルファクス・フード・システム
3815,G: メディア工房
3816,S: 大和コンピューター
3817,P: SRAホールディングス
3823,S: THE WHY HOW DO COMPANY
3825,S: リミックスポイント
3826,S: システムインテグレータ
3834,P: 朝日ネット
3835,P: eBASE
3836,P: アバントグループ
3837,P: アドソル日進
3839,S: ODKソリューションズ
3840,S: パス
3841,S: ジーダット
3842,G: ネクストジェン
3843,P: フリービット
3844,P: コムチュア
3845,S: アイフリークモバイル
3847,S: パシフィックシステム
3848,S: データ・アプリケーション
3850,S: エヌ・ティ・ティ・データ・イントラマート
3851,S: 日本一ソフトウェア
3853,P: アステリア
3854,P: アイル
3856,S: Abalance
3857,S: ラック
3858,S: ユビキタスAI
3861,P: 王子ホールディングス
3863,P: 日本製紙
3864,P: 三菱製紙
3865,P: 北越コーポレーション
3877,P: 中越パルプ工業
3878,S: 巴川コーポレーション
3880,P: 大王製紙
3891,S: ニッポン高度紙工業
3892,S: 岡山製紙
3895,S: ハビックス
3896,S: 阿波製紙
3900,G: クラウドワークス
3901,P: マークラインズ
3902,P: メディカル・データ・ビジョン
3903,P: gumi
3904,G: カヤック
3905,G: データセクション
3907,G: シリコンスタジオ
3908,G: コラボス
3909,S: ショーケース
3910,S: エムケイシステム
3911,G: Aiming
3912,S: モバイルファクトリー
3913,G: GreenBee
